X	Y	Z
-1050	-1050	1358.14546645722
-1050	-1110	1305.21352740721
-1050	-1170	1252.28158835721
-1050	-1230	1259.34964930721
-1050	-1290	1206.4177102572
-1050	-1350	1153.4857712072
-1050	-1410	1100.5538321572
-1050	-1470	1047.62189310719
-1050	-1530	994.689954057189
-1050	-1590	881.758015007186
-1050	-1650	828.826075957182
-1050	-1710	835.894136907179
-1050	-1770	782.962197857176
-1050	-1830	730.030258807173
-1050	-1890	677.098319757169
-1050	-1950	624.166380707166
-1050	-2010	631.234441657163
-1050	-2070	578.30250260716
-1050	-2130	525.370563557156
-1050	-2190	532.438624507153
-1050	-2250	479.50668545715
-1050	-2310	426.574746407146
-1050	-2370	433.642807357143
-1050	-2430	380.71086830714
-1050	-2490	387.778929257136
-1050	-2550	334.846990207133
-1050	-2610	281.91505115713
-1050	-2670	288.983112107127
-1050	-2730	236.051173057123
-1050	-2790	183.11923400712
-1050	-2850	190.187294957117
-1050	-2910	197.255355907113
-1050	-2970	144.32341685711
-1050	-3030	151.391477807107
-1050	-3090	98.4595387571039
-1050	-3150	105.5275997071
-1050	-3210	52.5956606570971
-1050	-3270	59.663721607094
-1050	-330.001	1813.32885285827
-1050	-3330	6.73178255709081
-1050	-3390	13.7998435070872
-1050	-3450	20.867904457084
-1050	-3510	27.9359654070809
-1050	-3570	35.0040263570777
-1050	-3630	42.0720873070741
-1050	-3690	49.1401482570709
-1050	-3750	-3.79179079293226
-1050	-3810	3.27627015706457
-1050	-3870	10.3443311070614
-1050	-390	1760.39679600725
-1050	-390.001	1700.39691380827
-1050	-3930	17.4123920570578
-1050	-3990	24.4804530070546
-1050	-4050	31.5485139570515
-1050	-4110	38.6165749070478
-1050	-4170	45.6846358570447
-1050	-4230	-7.2473031929585
-1050	-4290	-0.179242242961664
-1050	-4350	6.88881870703517
-1050	-4410	13.9568796570315
-1050	-4470	21.0249406070284
-1050	-450	1647.46485695725
-1050	-4530	28.0930015570252
-1050	-4590	35.1610625070216
-1050	-4650	42.2291234570184
-1050	-4710	49.2971844070153
-1050	-4770	56.3652453570121
-1050	-4830	63.4333063070089
-1050	-4890	70.5013672570058
-1050	-4950	17.5694282070021
-1050	-5010	24.637489156999
-1050	-5070	31.7055501069958
-1050	-510	1654.53291790724
-1050	-510.001	1654.53303570826
-1050	-5130	38.7736110569922
-1050	-5190	-14.158327993011
-1050	-5250	-7.09026704301414
-1050	-5310	-60.0222060930173
-1050	-5370	-52.9541451430205
-1050	-5430	-105.886084193024
-1050	-5490	-158.818023243027
-1050	-5550	-211.74996229303
-1050	-5610	-264.681901343034
-1050	-5670	-317.613840393037
-1050	-570	1601.60097885724
-1050	-570.001	1601.60109665826
-1050	-5730	-370.54577944304
-1050	-5790	-423.477718493044
-1050	-5850	-476.409657543047
-1050	-5910	-529.34159659305
-1050	-5970	-642.273535643053
-1050	-6030	-755.205474693057
-1050	-6090	-808.13741374306
-1050	-6150	-861.069352793063
-1050	-6210	-974.001291843067
-1050	-6270	-1026.93323089307
-1050	-630	1548.66903980724
-1050	-6330	-1079.86516994307
-1050	-6390	-1132.79710899308
-1050	-6450	-1185.72904804308
-1050	-6510	-1298.66098709308
-1050	-6570	-1411.59292614309
-1050	-6630	-1524.52486519309
-1050	-6690	-1637.45680424309
-1050	-6750	-1750.3887432931
-1050	-6810	-1863.3206823431
-1050	-6870	-1976.2526213931
-1050	-689.999	1555.73698295622
-1050	-690	1555.73710075723
-1050	-690.001	1555.73721855825
-1050	-6930	-2029.18456044311
-1050	-6990	-2142.11649949311
-1050	-7050	-2195.04843854311
-1050	-7110	-2247.98037759312
-1050	-7170	-2300.91231664312
-1050	-7230	-2353.84325569312
-1050	-7290	-2286.77519474313
-1050	-749.999	1502.80504390622
-1050	-750	1502.80516170723
-1050	-750.001	1502.80527950825
-1050	-810	1449.87322265723
-1050	-869.999	1456.94116580621
-1050	-870	1456.94128360723
-1050	-929.999	1464.00922675621
-1050	-930	1464.00934455722
-1050	-930.001	1464.00946235824
-1050	-990	1411.07740550722
-1050	-990.001	1411.07752330823
-1050	1050	1590.76333320733
-1050	1110	1583.69527225733
-1050	1170	1636.62721130734
-1050	1230	1629.55915035734
-1050	1650	1580.08272370736
-1050	1710	1573.01466275737
-1050	1770	1505.94660180737
-1050	1830	1438.87854085737
-1050	1890	1371.81047990738
-1050	1950	1364.74241895738
-1050	2010	1357.67435800738
-1050	2070	1290.60629705739
-1050	2130	1223.53823610739
-1050	2190	1216.47017515739
-1050	2250	1149.4021142074
-1050	2310	1082.3340532574
-1050	2370	1015.2659923074
-1050	2430	948.197931357405
-1050	2490	881.129870407408
-1050	2550	814.061809457412
-1050	2610	806.993748507415
-1050	2670	799.925687557418
-1050	2730	732.857626607421
-1050	2790	665.789565657425
-1050	2850	598.721504707428
-1050	2910	591.653443757431
-1050	2970	524.585382807435
-1050	3030	517.517321857438
-1050	3090	450.449260907441
-1050	3150	383.381199957445
-1050	3210	376.313139007448
-1050	3270	309.245078057451
-1050	3330	302.177017107454
-1050	3390	235.108956157458
-1050	3450	228.040895207461
-1050	3510	160.972834257464
-1050	3570	93.9047733074672
-1050	3630	86.8367123574708
-1050	3690	79.768651407474
-1050	3750	12.7005904574771
-1050	3810	5.63252950748029
-1050	3870	-1.43553144251655
-1050	3930	-68.5035923925129
-1050	3990	-75.5716533425098
-1050	4050	-82.6397142925066
-1050	4110	-89.707775242503
-1050	4170	-156.7758361925
-1050	4230	-163.843897142497
-1050	4290	-170.911958092493
-1050	4350	-177.98001904249
-1050	4410	-245.048079992487
-1050	4470	-192.116140942484
-1050	4530	-199.18420189248
-1050	4590	-206.252262842477
-1050	4650	-213.320323792474
-1050	4710	-220.38838474247
-1050	4770	-227.456445692467
-1050	4830	-234.524506642464
-1050	4890	-241.592567592461
-1050	4950	-248.660628542457
-1050	5010	-255.728689492454
-1050	5070	-262.796750442451
-1050	5130	-269.864811392447
-1050	5190	-276.932872342444
-1050	5250	-284.000933292441
-1050	5310	-291.068994242438
-1050	5370	-238.137055192435
-1050	5430	-245.205116142431
-1050	5490	-192.273177092428
-1050	5550	-199.341238042425
-1050	5610	-146.409298992421
-1050	5670	-93.4773599424179
-1050	5730	-40.5454208924148
-1050	5790	12.3865181575884
-1050	5850	65.3184572075916
-1050	5910	118.250396257595
-1050	5970	231.182335307598
-1050	6030	404.114274357602
-1050	870	1671.96751605732
-1050	870.001	1671.9673982563
-1050	930	1604.89945510732
-1050	930.001	1604.89933730631
-1050	990	1597.83139415733
-1050	990.001	1597.83127635631
-1110	-1050	1355.43074526563
-1110	-1110	1302.49880621563
-1110	-1170	1309.56686716562
-1110	-1230	1256.63492811562
-1110	-1290	1203.70298906562
-1110	-1350	1210.77105001561
-1110	-1410	1097.83911096561
-1110	-1470	1044.90717191561
-1110	-1530	991.975232865604
-1110	-1590	879.043293815601
-1110	-1650	826.111354765597
-1110	-1710	833.179415715594
-1110	-1770	780.247476665591
-1110	-1830	727.315537615588
-1110	-1890	674.383598565584
-1110	-1950	681.451659515581
-1110	-2010	628.519720465578
-1110	-2070	575.587781415575
-1110	-2130	522.655842365571
-1110	-2190	529.723903315568
-1110	-2250	476.791964265565
-1110	-2310	423.860025215562
-1110	-2370	430.928086165558
-1110	-2430	377.996147115555
-1110	-2490	385.064208065552
-1110	-2550	332.132269015548
-1110	-2610	339.200329965545
-1110	-2670	286.268390915542
-1110	-2730	233.336451865538
-1110	-2790	240.404512815535
-1110	-2850	187.472573765532
-1110	-2910	194.540634715529
-1110	-2970	141.608695665525
-1110	-3030	148.676756615522
-1110	-3090	95.744817565519
-1110	-3150	102.812878515515
-1110	-3210	49.8809394655123
-1110	-3270	56.9490004155091
-1110	-330.001	1810.61413166669
-1110	-3330	64.0170613655059
-1110	-3390	71.0851223155023
-1110	-3450	18.1531832654991
-1110	-3510	25.221244215496
-1110	-3570	32.2893051654928
-1110	-3630	39.3573661154896
-1110	-3690	46.425427065486
-1110	-3750	53.4934880154829
-1110	-3810	60.5615489654797
-1110	-3870	67.6296099154761
-1110	-390	1757.68207481567
-1110	-390.001	1757.68219261668
-1110	-3930	74.6976708654729
-1110	-3990	81.7657318154697
-1110	-4050	88.8337927654666
-1110	-4110	95.9018537154634
-1110	-4170	42.9699146654598
-1110	-4230	50.0379756154566
-1110	-4290	57.1060365654535
-1110	-4350	64.1740975154498
-1110	-4410	71.2421584654467
-1110	-4470	78.3102194154435
-1110	-450	1704.75013576566
-1110	-450.001	1704.75025356668
-1110	-4530	85.3782803654403
-1110	-4590	92.4463413154372
-1110	-4650	99.5144022654335
-1110	-4710	106.58246321543
-1110	-4770	53.6505241654272
-1110	-4830	60.718585115424
-1110	-4890	67.7866460654204
-1110	-4950	74.8547070154173
-1110	-5010	81.9227679654141
-1110	-5070	88.9908289154109
-1110	-510	1651.81819671566
-1110	-510.001	1651.81831451668
-1110	-5130	36.0588898654078
-1110	-5190	43.1269508154041
-1110	-5250	50.195011765401
-1110	-5310	-2.73692728460219
-1110	-5370	4.33113366539419
-1110	-5430	-48.600805384609
-1110	-5490	-101.532744434612
-1110	-5550	-154.464683484615
-1110	-5610	-207.396622534618
-1110	-5670	-260.328561584622
-1110	-570	1598.88625766566
-1110	-570.001	1598.88637546667
-1110	-5730	-313.260500634625
-1110	-5790	-366.192439684628
-1110	-5850	-419.124378734632
-1110	-5910	-472.056317784635
-1110	-5970	-584.988256834638
-1110	-6030	-637.920195884642
-1110	-6090	-750.852134934645
-1110	-6150	-863.784073984648
-1110	-6210	-916.716013034651
-1110	-6270	-969.647952084655
-1110	-630	1545.95431861565
-1110	-6330	-1022.57989113466
-1110	-6390	-1135.51183018466
-1110	-6450	-1188.44376923466
-1110	-6510	-1301.37570828467
-1110	-6570	-1354.30764733467
-1110	-6630	-1467.23958638467
-1110	-6690	-1580.17152543468
-1110	-6750	-1753.10346448468
-1110	-6810	-1866.03540353468
-1110	-6870	-1978.96734258469
-1110	-689.999	1553.02226176463
-1110	-690	1553.02237956565
-1110	-690.001	1553.02249736667
-1110	-6930	-2031.89928163469
-1110	-6990	-2084.83122068469
-1110	-7050	-2137.7631597347
-1110	-7110	-2190.6945987847
-1110	-7170	-2183.6265378347
-1110	-7230	-2176.55847688471
-1110	-7290	-1929.49091593471
-1110	-750	1500.09044051565
-1110	-750.001	1500.09055831666
-1110	-809.999	1507.15838366463
-1110	-810	1447.15850146564
-1110	-869.999	1454.22644461462
-1110	-870	1454.22656241564
-1110	-929.999	1461.29450556462
-1110	-930	1461.29462336564
-1110	-930.001	1461.29474116665
-1110	-990	1408.36268431563
-1110	-990.001	1408.36280211665
-1110	1050	1588.04861201574
-1110	1110	1580.98055106575
-1110	1170	1633.91249011575
-1110	1230	1626.84442916575
-1110	1650	1577.36800251578
-1110	1710	1570.29994156578
-1110	1770	1503.23188061578
-1110	1830	1436.16381966579
-1110	1890	1429.09575871579
-1110	1950	1362.02769776579
-1110	2010	1354.9596368158
-1110	2070	1287.8915758658
-1110	2130	1220.8235149158
-1110	2190	1153.75545396581
-1110	2250	1146.68739301581
-1110	2310	1019.61933206581
-1110	2370	952.551271115817
-1110	2430	885.48321016582
-1110	2490	818.415149215823
-1110	2550	811.347088265827
-1110	2610	804.27902731583
-1110	2670	737.210966365833
-1110	2730	730.142905415837
-1110	2790	663.07484446584
-1110	2850	596.006783515843
-1110	2910	528.938722565847
-1110	2970	521.87066161585
-1110	3030	454.802600665853
-1110	3090	447.734539715856
-1110	3150	380.66647876586
-1110	3210	313.598417815863
-1110	3270	306.530356865866
-1110	3330	299.462295915869
-1110	3390	232.394234965873
-1110	3450	165.326174015876
-1110	3510	98.2581130658791
-1110	3570	91.1900521158823
-1110	3630	24.1219911658854
-1110	3690	17.0539302158891
-1110	3750	9.98586926589223
-1110	3810	2.9178083158954
-1110	3870	-64.150252634101
-1110	3930	-71.2183135840978
-1110	3990	-78.2863745340946
-1110	4050	-145.354435484091
-1110	4110	-152.422496434088
-1110	4170	-159.490557384085
-1110	4230	-226.558618334082
-1110	4290	-233.626679284078
-1110	4350	-240.694740234075
-1110	4410	-247.762801184072
-1110	4470	-254.830862134068
-1110	4530	-261.898923084065
-1110	4590	-268.966984034062
-1110	4650	-216.035044984058
-1110	4710	-223.103105934055
-1110	4770	-230.171166884052
-1110	4830	-237.239227834049
-1110	4890	-244.307288784045
-1110	4950	-251.375349734042
-1110	5010	-258.443410684039
-1110	5070	-265.511471634036
-1110	5130	-272.579532584033
-1110	5190	-279.647593534029
-1110	5250	-286.715654484026
-1110	5310	-293.783715434023
-1110	5370	-240.851776384019
-1110	5430	-247.919837334016
-1110	5490	-254.987898284013
-1110	5550	-202.05595923401
-1110	5610	-149.124020184006
-1110	5670	-96.1920811340028
-1110	5730	-43.2601420839997
-1110	5790	9.67179696600351
-1110	5850	62.6037360160071
-1110	5910	115.53567506601
