X	Y	nZxy
-1110	-210	68.7243159459078
-1110	-210.001	128.72427989628
-1110	-2130	899.509031212036
-1110	-2190	957.346053564103
-1110	-2250	1075.18307591617
-1110	-2310	1133.02009826824
-1110	-2370	1190.8571206203
-1110	-270	66.5613382979743
-1110	-29.9998	75.2132560996338
-1110	-30	75.2132488897082
-1110	-30.0005	75.2132308648945
-1110	-330	64.3983606500408
-1110	-390	62.2353830021075
-1110	-450	60.072405354174
-1110	-510	57.9094277062404
-1110	-570	115.746450058307
-1110	-630	113.583472410373
-1110	-690	111.42049476244
-1110	-690.001	171.420458712812
-1110	-750	109.257517114507
-1110	-810	167.094539466573
-1110	-870	164.931561818639
-1110	-89.9995	73.0502892665884
-1110	-89.9998	13.0502784517003
-1110	-90	13.0502712417747
-1110	-90.0005	73.050253216961
-1110	-930	162.768584170706
-1110	-990	160.605606522773
-1110	-990.001	220.605570473145
-1110	1050	234.146846552511
-1110	1110	236.309824200444
-1110	1170	298.472801848378
-1110	1230	300.635779496311
-1110	1290	302.798757144245
-1110	1350	364.961734792178
-1110	1410	367.124712440112
-1110	1470	429.287690088045
-1110	150	81.7021818335086
-1110	150.001	81.7022178831362
-1110	1530	431.450667735979
-1110	1590	493.613645383912
-1110	1650	555.776623031846
-1110	1710	617.939600679779
-1110	1770	620.102578327713
-1110	1830	682.265555975646
-1110	1890	744.42853362358
-1110	1950	746.591511271513
-1110	2010	808.754488919446
-1110	2070	870.91746656738
-1110	210	23.8651594814421
-1110	2130	873.080444215313
-1110	2190	935.243421863247
-1110	2250	937.40639951118
-1110	2310	999.569377159114
-1110	2370	1001.73235480705
-1110	2430	1003.89533245498
-1110	2490	946.058310102914
-1110	2550	888.221287750848
-1110	2610	890.384265398781
-1110	2670	892.547243046715
-1110	270	26.0281371293756
-1110	2730	894.710220694648
-1110	2790	896.873198342582
-1110	2850	899.036175990515
-1110	2910	901.199153638449
-1110	2970	963.362131286382
-1110	30	77.3762265376417
-1110	30.0002	77.3762337475673
-1110	3030	965.525108934316
-1110	3090	967.688086582249
-1110	3150	969.851064230183
-1110	3210	972.014041878116
-1110	3270	974.177019526049
-1110	330	28.1911147773092
-1110	3330	976.339997173983
-1110	3390	978.502974821916
-1110	3450	980.66595246985
-1110	3510	982.828930117783
-1110	3570	924.991907765717
-1110	3630	927.15488541365
-1110	3690	929.317863061584
-1110	3750	931.480840709517
-1110	3810	933.643818357451
-1110	3870	875.806796005384
-1110	390	30.3540924252425
-1110	3930	877.969773653318
-1110	3990	820.132751301251
-1110	4050	822.295728949185
-1110	4110	824.458706597118
-1110	4170	766.621684245052
-1110	4230	648.784661892985
-1110	4290	590.947639540919
-1110	4350	533.110617188852
-1110	4410	475.273594836786
-1110	4470	477.436572484719
-1110	450	32.517070073176
-1110	4530	419.599550132653
-1110	4590	421.762527780586
-1110	4650	423.92550542852
-1110	4710	426.088483076453
-1110	4770	428.251460724387
-1110	4830	430.41443837232
-1110	4890	432.577416020253
-1110	4950	374.740393668187
-1110	5010	376.90337131612
-1110	5070	319.066348964054
-1110	509.999	94.6800116714821
-1110	510	94.6800477211095
-1110	5130	201.229326611987
-1110	5190	143.392304259921
-1110	5250	85.5552819078544
-1110	5310	27.7182595557878
-1110	5370	29.8812372037213
-1110	5430	-27.9557851483453
-1110	5490	-85.7928075004118
-1110	5550	-143.629829852478
-1110	5610	-201.466852204545
-1110	5670	-199.303874556611
-1110	570	96.8430253690431
-1110	5730	-197.140896908678
-1110	5790	-194.977919260744
-1110	5850	-192.814941612811
-1110	5910	-130.652963964877
-1110	5970	-68.4899863169439
-1110	630	99.0060030169766
-1110	690	101.16898066491
-1110	749.999	163.331922263216
-1110	750	163.331958312843
-1110	810	165.494935960777
-1110	870	167.65791360871
-1110	90	79.5392041855753
-1110	90.0002	79.5392113955006
-1110	929.999	229.820855207016
-1110	930	229.820891256644
-1110	990	231.983868904577
-1170	-1050	215.096423478829
-1170	-1110	212.933445830895
-1170	-1170	270.770468182962
-1170	-1230	268.607490535028
-1170	-1290	266.444512887095
-1170	-1350	324.281535239161
-1170	-1410	322.118557591228
-1170	-1470	379.955579943294
-1170	-150	67.541088197831
-1170	-150.001	127.541052148203
-1170	-1530	437.792602295361
-1170	-1590	495.629624647427
-1170	-1650	553.466646999494
-1170	-1710	611.303669351561
-1170	-1770	669.140691703627
